id,timestamp,location_timestamp,sim_id,technology,band,ul_arfcn,dl_arfcn,code,ul_bw,dl_bw,plmn_id,lac,rac,cell_id,param1,param2,param3,param4,param5,info,lifetime,source_id,frame_type,node_id,is_synced
173370,73603642229653504,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9080,3,0,0,0
173371,73603642831929344,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,11374,3,0,0,0
173372,73603643303854080,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9000,3,0,0,0
173373,73603643674813279,,0,4,-1.0,21300.0,3300,489.0,20,20,43211,44200,,23055619,,,,,,,8235,1,45250,0,0
173374,73603643879325696,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,2744,3,0,0,0
173375,73603644392800256,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,9794,3,0,0,0
173376,73603644943368192,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,11817,3,0,0,0
173377,73603645548986368,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,11350,3,0,0,0
173378,73603645998301184,,0,4,,,3300,,20,20,43211,44200,,23055619,,,,,,,7632,3,0,0,0
173379,73603646217072331,,0,4,-1.0,21300.0,3300,489.0,20,20,43211,44200,,23055619,,,,,,,6079,1,45250,0,0
173380,73603646473568256,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,3172,3,0,0,0
173381,73603646419644495,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,25,1,45250,0,0
173382,73603647039799296,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10415,3,0,0,0
173383,73603647501959168,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8834,3,0,0,0
173384,73603648111837184,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,11736,3,0,0,0
173385,73603648583761920,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8911,3,0,0,0
173386,73603649141800960,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10609,3,0,0,0
173387,73603649693679616,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10751,3,0,0,0
173388,73603650166063104,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8812,3,0,0,0
173389,73603650551632116,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,8453,1,45250,0,0
173390,73603650716303360,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,2051,3,0,0,0
173391,73603651266805760,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10475,3,0,0,0
173392,73603651738861568,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8992,3,0,0,0
173393,73603652282941440,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,13788,3,0,0,0
173394,73603652801658880,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,6851,3,0,0,0
173395,73603652822461693,,0,4,-1.0,18450.0,450,489.0,10,10,43211,44200,,23055639,,,,,,,1539,1,45250,0,0
173396,73603653296586752,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,7553,3,0,0,0
173397,73603653847547904,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10486,3,0,0,0
173398,73603654397984768,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10507,3,0,0,0
173399,73603654869975040,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9013,3,0,0,0
173400,73603655420674048,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10537,3,0,0,0
173401,73603655971766272,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10491,3,0,0,0
173402,73603656443822080,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8989,3,0,0,0
173403,73603656994914304,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10492,3,0,0,0
173404,73603657545482240,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10503,3,0,0,0
173405,73603658096312320,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10513,3,0,0,0
173406,73603658568237056,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,8993,3,0,0,0
173407,73603659119788032,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10760,3,0,0,0
173408,73603659670552576,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,10275,3,0,0,0
173409,73603660143001600,,0,4,,,450,,10,10,43211,44200,,23055639,,,,,,,9030,3,0,0,0
