id,timestamp,systemTimestamp,location_timestamp,serving_cell_timestamp,sim_id,technology,direction,category_id,channel_type_id,name_id,name_extra_id,msg_hex,radio_bearer_id,arfcn,code,param1,param2,info,node_id,is_synced
899325,73566258326625467,73566258370288032,,7.356625833243062e+16,0,4,1,2,6,4,0,201BAA004012002219080088645FA419C80C0DFBFF192B7EE7D0AC072D003002008037038BF52ABDD41A800CA00C06A015FB006EF48B31FCA8780018041EB8700C1994216BF40006C224100B00,0,3300,490,20.0,43191.0,,0,1
899326,73566258328999503,73566258370288032,,7.356625821473178e+16,0,4,1,2,2,0,0,02E901E40C000090020264,0,-1,-1,,,,0,1
899327,73566258329654314,73566258381769936,,7.356625833243062e+16,0,4,2,2,8,2,0,1200,0,3300,489,20.0,0.0,,0,1
899328,73566258388025304,73566258425443120,,7.356625833243062e+16,0,4,1,2,1,1,0,60D0C823A191DF59502BF9A07046A310040C21611308D848D0000000,0,3300,489,20.0,45061.0,,0,1
899329,73566258329165630,73566258381665072,,7.356625821473178e+16,0,4,1,2,1,0,0,00824C95BF648FA1580E5A00600008037038BF52ABC1A800CA00C02EDD801C584000C0044905B88D7F510000000000,0,3300,489,20.0,0.0,,0,1
899330,73566258388778706,73566258425443120,,7.356625833243062e+16,0,4,1,2,2,0,0,02E901E40C000000030264,0,-1,-1,,,,0,1
899331,73566258768016774,73566258809693792,,7.356625872296346e+16,0,4,2,3,7,76,0,074C5005F4EC1D85C257022000000000000000,0,3300,489,591104.0,,,0,1
899332,73566258768146996,73566258809693792,,7.356625872296346e+16,0,4,2,2,8,9,0,480264E0486DA4A213F91EA1EAAFEB2661B71DC58FC0,0,3300,489,20.0,0.0,,0,1
899333,73566258770435247,73566258809746224,,7.356625872296346e+16,0,4,1,2,6,5,0,282A552B31354C0504020621904495C5FC012190B089088CCC1102710517B57EA9580201402014020B4379000CF9423CC2CC212801226402186070BCBA04F4212210149487885B5A0506D020020CA7AA220A4466075FFFE07FFF8A021E05218150030001917EB62BD40000007EC42384064048F1284028000208800C0445CAC6018C0405800182998007886016DB02004308940B0B085F84020004614307114000F800000068600E03860286010510C8224AA2FE0080C840448C4666088148828BDA8F14AB0100A0100A015A1BC803167C10A11E61689094009132010C30385E5D027A1091080A951D842DAD02836810010653D51105223303AFFFF03FFFC5010F0290C0A8018000C8BF5B15EA0000003F5A11C20320247894201400010440060222E56300C60202C000C14CC003C4300B6D810021844A0585842FC201000230A18388A0007C000000343C07022D012B008188641125717F00586424224223330440A44185ED4F6A55008050080502E0DE4018B3E084008F30B3084A0048990086181C2F2E813D0848840525258216D68141B408508329EA8882311981D7FFF81FFFE280878148605400C000645FAD8AF50000001FAD08E10190123C4A100A0000822003011172B180630101600060A66001E21805B6C08010C22502C2C217A0001A1A038162809F8040C4320892B8BF802432101121119982204A20A2F6AFB52A804028040281686F20019F28479859842500244C80430C0E1797409E842442029291010B6B40A0DA040C4194F54441488CC0EBFFFC0FFFF14043C0A4302A006000322FD6C57A8000000FD6847080C8091E25080500004110018088B958C0318080B00030533000F10C02DB60400861128161610BF08040008C2860E228001F0000000D0C01C0,0,3300,489,20.0,40354.0,,0,1
899334,73566258783822324,73566258828882736,,7.356625872296346e+16,0,3,1,2,4,7,0,DF2E237D80A4A44442DAD02836810010653D5110E268500E00000000000003,40,-1,-1,,,,0,1
