number,RSRP,RSSI,RSRQ,SNR,CINR,MOS
802,-111,-68.7300601011026,-226.0,12.733207891784238,9.781317471202032,3.379632091877613
803,-104,-74.0,-180.0,13.55191323935728,10.155930895666668,3.755510595681264
804,-89,-62.0,-85.0,24.28086199220456,20.25393600764524,4.058060528421655
805,-88,-63.0,-167.7720213684425,11.538916942521976,8.875031048814662,4.168799980291787
806,-103,-73.66412723271523,-146.0,18.40788469374586,13.40081139196334,3.5350955581464767
807,-77,-49.0,-79.0,19.06114232384809,16.056623766477735,4.221398938700681
808,-106,-72.37388201507505,-188.0,10.615498772796107,9.23162499791144,3.681827011227276
809,-99,-62.0,-146.0,16.543175553646698,13.390320741702563,4.471259756119551
810,-88,-63.0,-152.0,14.097323409111674,10.813507090071283,4.241683269786666
811,-99,-72.0,-230.0,8.60524915918003,5.783256537657266,3.246441051231954
812,-99,-78.0,-171.94456333491487,9.3291699615246,6.500213846031795,4.013635302288972
813,-91,-65.0,-136.0,14.941336397675837,11.710298656068035,4.268838391917254
814,-104,-80.0,-200.0,11.610039638629223,8.801791217268692,4.195588849813925
815,-85,-63.0,-153.0,16.252318117926286,12.891711477857925,4.598455677237831
816,-98,-72.0,-181.97385736374505,9.879255061588802,7.689745910648938,3.583467127889456
817,-92,-59.0,-163.49739470095017,13.354305742343522,8.875190904490283,4.404041610179003
818,-105,-82.3033452902158,-196.0,11.455868521386979,9.590259825473698,3.6042662547571194
819,-87,-71.0,-119.0,16.93688074193271,13.975297736924643,4.530828645295648
820,-98,-60.0,-144.0,11.594429220209157,8.835649494503365,3.5363195121782858
821,-94,-61.0,-166.5372918270031,13.461618939473425,10.241065462256884,3.68132630233282
822,-90,-66.0,-169.94913754178282,13.189925441172937,8.320584477711922,4.340573641148419
823,-107,-76.0,-204.0,8.729277925813246,6.253855308474622,3.689049715644584
824,-98,-67.0,-111.0,13.396745007069493,9.688470087871588,3.5571780667270905
825,-79,-49.0,-98.60283413521094,23.26977726841048,19.667666010444503,4.223190045181056
826,-104,-82.0,-252.0,10.703999436683262,8.073818553890401,3.57684499876286
827,-74,-56.0,-87.0,24.13775397828274,21.51623869854342,4.268520293694439
828,-101,-70.15749817994327,-125.0,13.982955115406499,10.360119436328551,3.8855275822131055
829,-95,-70.0,-113.0,17.932991293902614,13.63933868162736,3.5399477297952373
830,-78,-50.0,-73.0,22.15949747393605,17.72337050084412,4.013670562559288
831,-113,-83.06119361054499,-258.0,7.44979648133807,5.896226280712552,3.587918814198399
832,-99,-61.0,-174.23874418358741,14.121920308019071,10.813386296212888,3.927313660924657
833,-96,-63.0,-121.0,16.653623522915105,13.056198095481484,3.7355503493946007
834,-99,-78.0,-205.0,9.332841052785795,6.913489646083682,4.136780219801077
835,-101,-60.0,-133.0,16.93163137778095,13.431825184980084,3.7120428606134426
836,-90,-60.0,-163.6149960542307,15.547271569076894,12.299606090673809,4.327476740743734
837,-110,-69.27209366151658,-193.0,9.241958748804697,6.63013706651569,3.169388690588984
838,-85,-64.0,-168.58666748195026,15.27820203854312,12.131846088055037,4.267523803866892
839,-103,-74.798534294066,-163.0047925677794,15.561968154227854,11.784407437521772,3.4193314229363074
840,-85,-71.0,-133.0,16.068950678387694,12.919460743066614,4.130951669217
841,-102,-71.0,-151.0,15.485448591416215,12.23818108035102,3.485163961963819
842,-85,-57.467370405528015,-108.0,14.925168802979082,11.4802001002144,4.331018341557793
843,-91,-64.0,-150.0,15.502114520916894,11.578420225531836,4.345478108937997
844,-100,-70.0,-209.0,9.725974486076977,6.755359509045885,3.799007985559194
845,-95,-65.0,-144.0,14.148149322811973,10.593242601427452,3.8637253394234414
846,-103,-59.0,-170.21464705131902,17.747417907825945,13.448680761163356,4.077289420957011
847,-102,-75.0,-171.84262764561782,12.18933868715446,9.660082235795732,3.513450526120109
848,-102,-63.0,-155.0,16.75299884918752,13.099252234200216,4.045541230129164
849,-102,-79.0,-174.93347264250897,7.547856915080333,5.943152156667661,3.554273565308364
850,-87,-72.0,-105.0,12.687828668879133,9.74752551375566,4.506895153248972
851,-88,-61.0,-175.0,17.1811469786064,14.040431094742114,3.834816740842245
852,-101,-76.0,-247.0,11.850715160995554,10.393439678874897,3.512023384712481
853,-90,-69.63135004628532,-108.0,12.52289309283656,9.790842359751757,3.886009722369266
854,-102,-68.47910067202706,-141.0,13.566058602872898,10.031064096150626,3.544207666693493
855,-87,-61.0,-139.0,15.668712290995444,12.582686487372662,4.266232789398612
856,-89,-67.0,-154.60351237141444,16.54168840860041,12.842664557604335,4.355976657633163
857,-98,-60.0,-121.0,18.49758239218819,14.358260382668382,3.4772156380239374
858,-91,-60.0,-89.38012370136593,11.743170984619942,9.349608854250237,4.245665507617732
859,-106,-71.0,-235.0,9.989480249867013,7.379255402056037,3.9112909307988897
860,-113,-76.0,-220.0,9.676971115450716,7.560454274130588,3.540985884243513
861,-113,-71.0,-169.0515779385679,7.896465959791248,5.611692336761132,2.9322063831646763
862,-94,-60.0,-109.0,13.26431336187806,9.839096596671762,4.310654233859304
863,-112,-86.0,-273.0,7.097628043610684,6.6156952259821775,3.16861770178236
864,-97,-66.0,-124.0,15.651207761249369,11.99116739385694,3.738617816977676
865,-114,-81.55451975779248,-211.0,12.776028053012391,9.904433895056512,2.9946740089552057
866,-95,-67.56902314472373,-173.8314741328958,16.288769178850014,13.119076765806138,3.876037787734339
867,-113,-85.0,-253.229052006561,8.434692975195663,6.291734444823852,3.2650145119994054
868,-100,-72.0,-123.0,15.596856528526375,11.910423024058698,3.968314972417237
869,-95,-71.53066103843595,-135.0,14.228291413957717,10.707336029822464,4.443182934435677
870,-103,-70.0,-207.0,9.486544408926411,7.45898570546127,3.956239612782393
871,-98,-63.0,-124.0,17.666249372495628,13.961397202375275,3.7954582756051343
872,-81,-51.0,-82.0,18.966758116325725,15.81142677663902,3.906501889950568
873,-103,-64.0,-145.0,17.84668578916166,14.171993930468242,3.697120558190179
874,-111,-71.0,-245.0,8.73655400074461,6.3155239578090985,3.642888789518114
875,-89,-59.0,-146.0,16.962971771980346,13.398225083326116,4.341064391108544
876,-114,-79.0,-239.0,10.941832586092092,8.255746569890047,2.6495461424597533
877,-93,-67.0,-162.11794798364238,16.57594434067431,12.911512986926974,3.8998150553943343
878,-77,-56.0,-80.0,20.64087785453848,16.8993419839854,4.250719924181024
879,-99,-69.79022135885516,-205.0,11.1150323759547,8.861829532123068,3.625206140912245
880,-97,-72.0,-172.222086686725,15.776549889226924,12.082257454897109,4.276354011528709
881,-101,-81.20915741348809,-189.0,7.679364254004407,5.880352353279786,3.5632975579036463
882,-103,-70.0,-128.0,14.042385759054572,9.883130676633389,3.645754348647935
883,-86,-70.0,-169.47986984722428,16.08725956628095,12.472522533932166,4.19810911639166
884,-108,-80.0,-243.0,8.118480021298533,5.538418156179298,3.292464995334395
885,-92,-67.0,-105.0,15.660009661825452,12.044753709484125,3.863328718318674
886,-114,-77.0,-228.0,8.496891100237624,6.111455013150156,3.054944670452885
887,-96,-72.88737488316549,-110.0,15.14850637323081,11.48088687279374,4.188338277592785
888,-102,-79.0,-238.0,9.577763701856073,6.68548788662943,3.88813367414233
889,-103,-59.0,-145.0,14.109252224614114,10.55438725331489,4.021027661269256
890,-95,-69.48131903093415,-155.0,13.184537713974724,10.171195051298,4.225644739363219
